code,share_name,industry,sub_industry,rsi_comparison_market,rsi_comparison_sector,commodity,Current Price,Current Value,Next Week Prediction,Next Month Prediction,Z-Score,Overbought_Oversold,Overbought_Oversold_Value,SECTOR RSI 1M,SECTOR RSI 3M,SECTOR RSI 6M,MARKET RSI 1M,MARKET RSI 3M,MARKET RSI 6M
4SI.JO,4Sight Holdings Ltd,Technology,Software and Computer Services,%5EJ300.JO,STXFIN.JO,False,75.0,75.0,-1.0,-1.0,0.73,0.01,1.01,1.06,0.87,0.81,1.09,0.96,1.01
ABG.JO,Absa Group Limited,Financials,Banks,%5EJ300.JO,STXFIN.JO,False,15883.0,15883.0,-1.0,-1.0,1.56,-0.01,0.99,0.96,0.88,0.84,1.0,0.97,1.04
ACT.JO,AfroCentric Inv Corp Ltd,Healthcare,Healthcare Providers,%5EJ300.JO,STXFIN.JO,False,273.0,273.0,-1.0,-1.0,-0.05,-0.01,0.99,1.01,0.86,0.77,1.04,0.95,0.97
ADH.JO,ADvTECH Ltd,Consumer Discrescretionary,Consumer Services,%5EJ300.JO,STXFIN.JO,False,3071.0,3071.0,-1.0,-1.0,2.16,0.0,1.0,1.0,1.01,0.99,1.03,1.11,1.19
ADR.JO,Adcorp Holdings Limited,Industrials,General Industrials,%5EJ300.JO,STXFIN.JO,False,426.0,426.0,-1.0,-1.0,-1.55,0.06,1.06,1.01,0.98,1.01,1.04,1.09,1.21
ADW.JO,African Dawn Capital Ltd,Financials,Finance and Credit Services,%5EJ300.JO,STXFIN.JO,False,0.09,0.09,-1.0,-1.0,-0.32,-0.63,0.37,0.01,0.01,0.01,0.01,0.01,0.19
AEG.JO,Aveng Group Limited,Industrials,Construction Materials,%5EJ300.JO,STXFIN.JO,False,975.0,975.0,-1.0,-1.0,2.78,0.07,1.07,1.16,1.37,1.04,1.2,1.51,1.24
AEL.JO,Altron Limited,Technology,Software and Computer Services,%5EJ300.JO,STXFIN.JO,False,1750.0,1750.0,-1.0,-1.0,1.78,0.06,1.06,1.1,1.41,1.6,1.14,1.55,1.81
AFE.JO,AECI Limited,Basic Materials,Chemicals,%5EJ300.JO,STXFIN.JO,False,10576.0,10576.0,-1.0,-1.0,1.98,-0.02,0.98,0.94,0.97,0.97,0.97,1.07,1.17
AFH.JO,Alexander Forbes Grp Hldgs,Financials,Investment Banking and Brokerage Services,%5EJ300.JO,STXFIN.JO,False,673.0,673.0,-1.0,-1.0,1.3,-0.01,0.99,0.98,1.0,0.98,1.01,1.1,1.18
AFT.JO,Afrimat Limited,Basic Materials,Industrial Metals and Mining,%5EJ300.JO,STXRES.JO,False,6330.0,6330.0,-1.0,-1.0,-1.17,-0.04,0.96,1.0,1.05,0.9,0.92,0.92,1.11
AGL.JO,Anglo American plc,Basic Materials,Industrial Metals and Mining,%5EJ300.JO,STXRES.JO,False,51000.0,51000.0,-1.0,-1.0,-1.04,-0.03,0.97,1.0,0.9,1.06,0.92,0.8,1.27
AHL.JO,AH-Vest Limited,Consumer Staples,Food Producers,%5EJ300.JO,STXFIN.JO,False,0.1,0.1,-1.0,-1.0,-0.32,-0.62,0.38,0.01,0.56,0.55,0.01,0.62,0.74
AIL.JO,African Rainbow Cap Inv,Financials,Closed end Investments,%5EJ300.JO,STXFIN.JO,False,583.0,583.0,-1.0,-1.0,-2.39,-0.0,1.0,0.88,0.96,1.09,0.91,1.06,1.3
AIP.JO,Adcock Ingram Hldgs Ltd,Healthcare,Pharmaceuticals and Biotechnology,%5EJ300.JO,STXFIN.JO,False,5715.0,5715.0,-1.0,-1.0,-0.22,-0.02,0.98,0.92,0.9,0.93,0.95,0.99,1.13
AME.JO,African Media Ent Ltd,Consumer Discrescretionary,Media,%5EJ300.JO,STXFIN.JO,False,4100.0,4100.0,-1.0,-1.0,-0.65,0.03,1.03,1.02,1.1,1.2,1.05,1.22,1.41
AMS.JO,Anglo American Plat Ltd,Basic Materials,Precious Metals and Mining,%5EJ300.JO,STXRES.JO,False,64813.0,64813.0,-1.0,-1.0,0.13,0.03,1.03,1.13,0.91,0.76,1.04,0.8,0.97
ANG.JO,AngloGold Ashanti plc,Basic Materials,Precious Metals and Mining,%5EJ300.JO,STXRES.JO,False,56037.0,56037.0,-1.0,-1.0,2.02,0.02,1.02,1.12,1.31,1.4,1.03,1.16,1.62
ANH.JO,Anheuser-Busch InBev SA NV,Consumer Staples,Beverages,%5EJ300.JO,STXACW.JO,False,108803.0,108803.0,-1.0,-1.0,-1.23,0.01,1.01,1.02,0.9,,0.96,0.89,1.0
APN.JO,Aspen Pharmacare Hldgs Ltd,Healthcare,Pharmaceuticals and Biotechnology,%5EJ300.JO,STXFIN.JO,False,23019.0,23019.0,-1.0,-1.0,-0.79,0.01,1.01,0.94,0.86,1.0,0.97,0.95,1.21
ARA.JO,Astoria Investments Ltd,Financials,Closed end Investments,%5EJ300.JO,STXFIN.JO,False,780.0,780.0,-1.0,-1.0,0.81,-0.01,0.99,0.99,0.99,0.79,1.03,1.1,0.98
ARI.JO,African Rainbow Min Ltd,Basic Materials,Industrial Metals and Mining,%5EJ300.JO,STXRES.JO,False,18958.0,18958.0,-1.0,-1.0,-1.48,-0.06,0.94,0.91,0.9,0.99,0.84,0.8,1.2
ARL.JO,Astral Foods Ltd,Consumer Staples,Food Producers,%5EJ300.JO,STXFIN.JO,False,17350.0,17350.0,-1.0,-1.0,2.19,0.01,1.01,1.01,1.0,1.05,1.05,1.11,1.25
